word,valence,arousal,dominance,emotion,pos
uncouth,0.08,0.761,0.35,fear,ADJ
horrifying,0.01,0.76,0.352,fear,ADJ
narcotic,0.102,0.858,0.45,fear,ADJ
shameful,0.04,0.68,0.264,fear,ADJ
stressful,0.153,0.873,0.389,fear,ADJ
humiliating,0.062,0.716,0.279,fear,ADJ
hungry,0.083,0.69,0.254,fear,ADJ
irritable,0.112,0.952,0.462,fear,ADJ
shaky,0.26,0.734,0.223,fear,ADJ
nude,0.49,0.915,0.2,fear,ADJ
zealous,0.292,0.829,0.347,fear,ADJ
agonizing,0.083,0.8,0.34,fear,ADJ
cranky,0.194,0.776,0.396,fear,ADJ
filthy,0.115,0.714,0.321,fear,ADJ
disagreeable,0.042,0.643,0.178,fear,ADJ
asthmatic,0.229,0.706,0.294,fear,ADJ
disappointing,0.073,0.64,0.2,fear,ADJ
epileptic,0.146,0.794,0.34,fear,ADJ
achy,0.167,0.84,0.373,fear,ADJ
bloat,0.229,0.694,0.298,fear,ADV
disgusting,0.031,0.796,0.245,fear,ADJ
dishonorable,0.112,0.641,0.28,fear,ADJ
accidentally,0.333,0.741,0.333,fear,ADV
accidental,0.319,0.784,0.307,fear,ADJ
flustered,0.316,0.903,0.283,fear,ADJ
distasteful,0.264,0.676,0.222,fear,ADJ
distressed,0.143,0.771,0.324,fear,ADJ
appalling,0.16,0.827,0.415,fear,ADJ
envious,0.11,0.754,0.341,fear,ADJ
crazy,0.156,0.843,0.321,fear,ADJ
diabolical,0.102,0.912,0.456,fear,ADJ
cruel,0.122,0.866,0.391,fear,ADJ
extreme disgust,0.052,0.873,0.456,fear,ADJ
annoying,0.082,0.853,0.348,fear,ADJ
deceitful,0.071,0.788,0.371,fear,ADJ
extremely negative,0.03,0.786,0.311,fear,"ADV, ADJ"
expatriate,0.265,0.764,0.391,fear,ADJ
aghast,0.133,0.865,0.464,fear,ADJ
dastardly,0.208,0.688,0.27,fear,ADV
faithless,0.102,0.683,0.304,fear,ADJ
delusional,0.219,0.745,0.327,fear,ADJ
bare,0.333,0.717,0.296,fear,ADJ
famished,0.177,0.654,0.282,fear,ADJ
culpable,0.14,0.7,0.319,fear,ADJ
excruciating,0.083,0.837,0.345,fear,ADJ
deplorable,0.135,0.657,0.23,fear,ADJ
afraid,0.01,0.775,0.245,fear,ADJ
desperate,0.083,0.842,0.337,fear,ADJ
despicable,0.146,0.71,0.255,fear,ADJ
folly,0.184,0.833,0.363,fear,ADV
anxious,0.281,0.875,0.434,fear,ADJ
disgraceful,0.082,0.702,0.24,fear,ADJ
drunken,0.155,0.849,0.25,fear,ADJ
absurd,0.188,0.656,0.284,fear,ADJ
chaotic,0.115,0.847,0.442,fear,ADJ
angriest,0.094,0.892,0.43,fear,ADJ
drunk,0.194,0.8,0.25,fear,ADJ
dreadfully,0.246,0.806,0.306,fear,ADV
drunk driving,0.073,0.9,0.306,fear,ADJ
dreadful,0.092,0.786,0.348,fear,ADJ
edgy,0.281,0.895,0.306,fear,ADJ
abortive,0.09,0.776,0.28,fear,ADJ
drunkard,0.24,0.873,0.25,fear,ADJ
transcendent,0.667,0.6,0.824,joy,ADJ
loud,0.573,0.65,0.87,joy,ADJ
democratic,0.802,0.519,0.798,joy,ADJ
passionate,0.99,0.827,0.731,joy,ADJ
audacious,0.74,0.875,0.825,joy,ADJ
demonstrable,0.735,0.471,0.749,joy,ADJ
thrilling,0.93,0.827,0.782,joy,ADJ
lovable,0.948,0.335,0.565,joy,ADJ
lovely,0.917,0.456,0.741,joy,ADJ
dependable,0.88,0.357,0.741,joy,ADJ
unimpeachable,0.684,0.55,0.784,joy,ADJ
lucid,0.771,0.49,0.705,joy,ADJ
palatable,0.823,0.5,0.594,joy,ADJ
optimum,0.892,0.469,0.808,joy,ADJ
authoritative,0.636,0.52,0.89,joy,ADJ
opportune,0.796,0.538,0.767,joy,ADV
lucky,0.96,0.61,0.793,joy,ADJ
together,0.874,0.392,0.658,joy,ADV
patriotic,0.875,0.509,0.933,joy,ADJ
lucrative,0.729,0.519,0.798,joy,ADJ
awesome,0.98,0.897,0.891,joy,ADJ
autobiographical,0.909,0.462,0.582,joy,ADJ
outstanding,0.898,0.76,0.896,joy,ADJ
totally,0.82,0.422,0.702,joy,ADV
luminous,0.918,0.392,0.783,joy,ADJ
authentic,0.885,0.51,0.782,joy,ADJ
diligent,0.76,0.426,0.759,joy,ADJ
original,0.765,0.48,0.746,joy,ADJ
optimistic,0.979,0.58,0.821,joy,ADJ
luckiest,0.917,0.69,0.852,joy,ADJ
desirable,0.74,0.735,0.75,joy,ADJ
marketable,0.746,0.545,0.664,joy,ADJ
perfect,0.98,0.471,0.87,joy,ADJ
tenacious,0.724,0.658,0.692,joy,ADJ
polite,0.927,0.378,0.562,joy,ADJ
lifelike,0.776,0.567,0.765,joy,ADJ
tasty,0.959,0.786,0.555,joy,ADJ
popular,0.88,0.676,0.731,joy,ADJ
liable,0.656,0.519,0.821,joy,ADJ
tasteful,0.918,0.458,0.625,joy,ADJ
posh,0.823,0.337,0.75,joy,ADJ
yummy,0.878,0.55,0.658,joy,ADJ
positive,0.959,0.51,0.855,joy,ADJ
positively,0.969,0.645,0.795,joy,ADV
decisive,0.74,0.509,0.935,joy,ADJ
potent,0.698,0.784,0.907,joy,ADJ
beautiful,0.875,0.614,0.648,joy,ADJ
powerful,0.865,0.83,0.991,joy,ADJ
deft,0.719,0.575,0.849,joy,ADJ
perceptive,0.745,0.5,0.741,joy,ADJ
plentiful,0.833,0.735,0.745,joy,ADJ
pleasurable,0.948,0.529,0.669,joy,ADJ
lively,0.847,0.81,0.642,joy,ADJ
thebest,0.76,0.596,0.719,joy,ADJ
perky,0.896,0.792,0.673,joy,ADJ
delightful,0.918,0.735,0.644,joy,ADJ
universe,0.694,0.454,0.839,joy,ADV
persistent,0.646,0.667,0.815,joy,ADJ
personable,0.816,0.52,0.637,joy,ADJ
persuasive,0.74,0.7,0.657,joy,ADJ
delectable,0.781,0.642,0.718,joy,ADJ
thankful,0.969,0.344,0.714,joy,ADJ
phenomenal,0.915,0.75,0.918,joy,ADJ
terrific,0.859,0.65,0.821,joy,ADJ
pleasant,0.939,0.31,0.673,joy,ADJ
pleased,0.939,0.548,0.795,joy,ADJ
pleasing,0.917,0.449,0.788,joy,ADJ
likable,0.865,0.48,0.663,joy,ADJ
omnipotent,0.719,0.679,0.919,joy,ADJ
attractive,0.906,0.63,0.769,joy,ADJ
manly,0.698,0.633,0.846,joy,ADV
monumental,0.656,0.594,0.955,joy,ADJ
divine,0.918,0.571,0.885,joy,ADJ
dressy,0.8,0.57,0.696,joy,ADJ
motherly,0.927,0.324,0.71,joy,ADJ
multinational,0.656,0.51,0.842,joy,ADJ
distinctive,0.885,0.52,0.604,joy,ADJ
appropriate,0.833,0.368,0.759,joy,ADJ
multiplier,0.643,0.615,0.741,joy,ADJ
ardent,0.694,0.873,0.722,joy,ADJ
musical,0.908,0.63,0.53,joy,ADJ
mutually,0.844,0.49,0.582,joy,ADV
mythological,0.76,0.573,0.658,joy,ADJ
unbelievable,0.771,0.79,0.717,joy,ADJ
unbeaten,0.854,0.76,0.828,joy,ADJ
major,0.684,0.538,0.874,joy,ADJ
modern,0.855,0.423,0.691,joy,ADJ
moderate surprise,0.776,0.663,0.637,joy,ADJ
moderate positive,0.896,0.453,0.753,joy,"ADJ, ADJ"
marvellous,0.878,0.809,0.849,joy,ADJ
marvelous,0.948,0.637,0.778,joy,ADJ
marvelously,0.968,0.708,0.764,joy,ADV
masterful,0.854,0.51,0.96,joy,ADJ
unforgettable,0.833,0.561,0.66,joy,ADJ
melodious,0.932,0.53,0.587,joy,ADJ
memorable,0.939,0.51,0.769,joy,ADJ
meritorious,0.781,0.618,0.855,joy,ADJ
merry,0.979,0.731,0.764,joy,ADJ
mighty,0.855,0.837,0.936,joy,ADJ
mindful,0.765,0.45,0.725,joy,ADJ
dreamland,0.844,0.471,0.566,joy,ADJ
miraculous,0.875,0.706,0.812,joy,ADJ
appreciable,0.873,0.491,0.778,joy,ADJ
appreciative,0.857,0.38,0.654,joy,ADJ
majestic,0.948,0.731,0.906,joy,ADJ
unbeatable,0.735,0.719,0.681,joy,ADJ
main,0.667,0.51,0.811,joy,ADJ
artful,0.771,0.608,0.778,joy,ADJ
nutritional,0.812,0.406,0.676,joy,ADJ
nutritive,0.875,0.422,0.667,joy,ADJ
astonishing,0.844,0.802,0.821,joy,ADJ
astonishingly,0.827,0.898,0.773,joy,ADV
truthful,0.708,0.467,0.807,joy,ADJ
trustworthy,0.969,0.315,0.824,joy,ADJ
lush,0.74,0.783,0.833,joy,ADJ
true,0.896,0.436,0.777,joy,ADJ
astute,0.776,0.658,0.827,joy,ADJ
triumphant,0.949,0.837,0.972,joy,ADJ
athletic,0.857,0.798,0.708,joy,ADJ
tremendously,0.719,0.722,0.661,joy,ADV
tremendous,0.6,0.888,0.773,joy,ADJ
attainable,0.76,0.5,0.759,joy,ADJ
attentive,0.812,0.52,0.724,joy,ADJ
lustrous,0.771,0.606,0.598,joy,ADJ
luscious,0.885,0.552,0.545,joy,ADJ
assuredly,0.786,0.396,0.833,joy,ADV
noticeable,0.89,0.562,0.75,joy,ADJ
negotiable,0.688,0.585,0.731,joy,ADJ
artistic,0.802,0.646,0.632,joy,ADJ
magnificent,1.0,0.68,0.886,joy,ADJ
magical,0.875,0.651,0.595,joy,ADJ
new,0.917,0.49,0.582,joy,ADJ
new age,0.694,0.556,0.727,joy,ADJ
nice,0.93,0.442,0.65,joy,ADJ
nifty,0.74,0.745,0.815,joy,ADJ
macho,0.643,0.69,0.676,joy,ADJ
nimble,0.833,0.729,0.769,joy,ADJ
noble,0.906,0.345,0.61,joy,ADJ
luxurious,0.947,0.644,0.754,joy,ADJ
ubiquitous,0.635,0.571,0.884,joy,ADJ
luxuriant,0.76,0.745,0.812,joy,ADJ
notably,0.792,0.533,0.689,joy,ADV
powerfully,0.854,0.724,0.935,joy,ADV
surprisingly,0.847,0.793,0.819,joy,ADV
free,0.896,0.5,0.544,joy,ADJ
precious,0.917,0.5,0.726,joy,ADJ
startling,0.75,0.768,0.83,joy,ADJ
brave,0.837,0.75,0.917,joy,ADJ
compelling,0.698,0.57,0.87,joy,ADJ
compatible,0.892,0.387,0.638,joy,ADJ
communicative,0.847,0.56,0.637,joy,ADJ
commendable,0.786,0.57,0.555,joy,ADJ
satisfactorily,0.765,0.57,0.802,joy,ADV
satisfactory,0.959,0.569,0.702,joy,ADJ
satisfied,0.959,0.51,0.685,joy,ADJ
savory,0.812,0.717,0.619,joy,ADJ
savvy,0.719,0.52,0.706,joy,ADJ
colossal,0.698,0.692,0.9,joy,ADJ
colorful,0.85,0.52,0.519,joy,ADJ
scenic,0.684,0.548,0.756,joy,ADJ
spunky,0.646,0.879,0.755,joy,ADJ
collectively,0.817,0.573,0.533,joy,ADV
scientific,0.653,0.51,0.836,joy,ADJ
salutary,0.885,0.36,0.686,joy,ADJ
stately,0.83,0.728,0.915,joy,ADJ
safe,0.898,0.306,0.759,joy,ADJ
competent,0.865,0.56,0.904,joy,ADJ
rightful,0.837,0.358,0.821,joy,ADJ
rightly,0.74,0.471,0.782,joy,ADV
cool,0.885,0.54,0.781,joy,ADJ
convergent,0.781,0.49,0.696,joy,ADJ
robust,0.667,0.604,0.719,joy,ADJ
romantic,0.936,0.531,0.598,joy,ADJ
rosy,0.94,0.528,0.755,joy,ADJ
convenient,0.846,0.491,0.574,joy,ADJ
sporty,0.735,0.713,0.648,joy,ADJ
booty,0.663,0.587,0.784,joy,ADJ
boundless,0.684,0.642,0.652,joy,ADJ
stellar,0.796,0.58,0.769,joy,ADJ
constructive,0.86,0.57,0.812,joy,ADJ
consistent,0.786,0.431,0.726,joy,ADJ
connective,0.719,0.491,0.764,joy,ADJ
sacred,0.833,0.375,0.862,joy,ADJ
congratulatory,0.959,0.616,0.689,joy,ADJ
conducive,0.775,0.479,0.679,joy,ADJ
royal,0.796,0.43,0.759,joy,ADJ
bright,0.89,0.527,0.812,joy,ADJ
scrumptious,0.959,0.65,0.566,joy,ADJ
spontaneous,0.78,0.578,0.655,joy,ADJ
somewhat positive,0.92,0.51,0.667,joy,"ADV, ADJ"
shiny,0.885,0.604,0.787,joy,ADJ
cheery,0.949,0.657,0.486,joy,ADJ
cheerful,0.99,0.72,0.696,joy,ADJ
sohappy,0.949,0.673,0.681,joy,ADJ
charming,0.917,0.66,0.764,joy,ADJ
sociable,0.854,0.459,0.627,joy,ADJ
significant,0.827,0.649,0.786,joy,ADJ
shapely,0.771,0.441,0.83,joy,ADV
captivating,0.895,0.594,0.816,joy,ADJ
sincere,0.918,0.265,0.725,joy,ADJ
charismatic,0.938,0.684,0.849,joy,ADJ
skilled,0.886,0.614,0.929,joy,ADJ
skillful,0.802,0.616,0.908,joy,ADJ
ceremonial,0.771,0.54,0.691,joy,ADJ
celestial,0.817,0.36,0.731,joy,ADJ
slender,0.812,0.548,0.664,joy,ADJ
celebratory,0.857,0.653,0.845,joy,ADJ
smart,0.906,0.607,0.923,joy,ADJ
righteous,0.823,0.385,0.79,joy,ADJ
sophisticated,0.865,0.481,0.845,joy,ADJ
sovereign,0.698,0.5,0.885,joy,ADJ
seaside,0.887,0.52,0.508,joy,ADV
splendid,0.896,0.74,0.81,joy,ADJ
brighter,0.918,0.698,0.833,joy,ADJ
cogent,0.765,0.479,0.836,joy,ADJ
seductive,0.771,0.821,0.667,joy,ADJ
speedy,0.625,0.625,0.793,joy,ADJ
speedily,0.688,0.74,0.665,joy,ADV
brilliant,0.939,0.575,0.923,joy,ADJ
classy,0.917,0.41,0.649,joy,ADJ
spectacular,0.947,0.74,0.887,joy,ADJ
special,0.844,0.602,0.73,joy,ADJ
sensational,0.938,0.827,0.858,joy,ADJ
sensual,0.73,0.79,0.642,joy,ADJ
sensuous,0.854,0.798,0.625,joy,ADJ
serviceable,0.834,0.4,0.684,joy,ADJ
sparkly,0.885,0.59,0.726,joy,ADJ
clever,0.896,0.353,0.729,joy,ADJ
sexy,0.865,0.945,0.802,joy,ADJ
specially,0.847,0.398,0.714,joy,ADV
surprising,0.888,0.79,0.692,joy,ADJ
rich,0.882,0.627,0.905,joy,ADJ
rhythmic,0.714,0.642,0.664,joy,ADJ
productive,0.847,0.677,0.773,joy,ADJ
proficient,0.854,0.461,0.817,joy,ADJ
profitable,0.87,0.392,0.736,joy,ADJ
profound,0.755,0.546,0.736,joy,ADJ
progressive,0.755,0.606,0.81,joy,ADJ
prominent,0.676,0.627,0.779,joy,ADJ
prominently,0.771,0.633,0.831,joy,ADV
promotional,0.84,0.646,0.679,joy,ADJ
prophetic,0.688,0.586,0.796,joy,ADJ
prospectively,0.76,0.62,0.679,joy,ADV
prosperous,0.948,0.627,0.89,joy,ADJ
protective,0.844,0.459,0.86,joy,ADJ
proud,0.906,0.7,0.873,joy,ADJ
superb,0.98,0.708,0.852,joy,ADJ
cute,0.92,0.528,0.579,joy,ADJ
sultry,0.735,0.696,0.627,joy,ADJ
purposely,0.646,0.706,0.703,joy,ADV
prodigious,0.875,0.67,0.904,joy,ADJ
superior,0.801,0.697,0.94,joy,ADJ
dear,0.88,0.434,0.629,joy,ADJ
proactive,0.792,0.723,0.857,joy,ADJ
precise,0.833,0.358,0.769,joy,ADJ
precisely,0.816,0.388,0.714,joy,ADV
preeminent,0.688,0.676,0.732,joy,ADJ
preferable,0.806,0.433,0.687,joy,ADJ
preferential,0.74,0.481,0.764,joy,ADJ
supremely,0.833,0.725,0.897,joy,ADV
decidedly,0.75,0.48,0.843,joy,ADV
supportive,0.875,0.42,0.635,joy,ADJ
beneficial,0.82,0.579,0.703,joy,ADJ
presidential,0.612,0.656,0.972,joy,ADJ
believable,0.866,0.39,0.676,joy,ADJ
pretty,0.875,0.516,0.561,joy,ADV
priceless,0.745,0.696,0.779,joy,ADJ
supernatural,0.622,0.824,0.733,joy,ADJ
superlative,0.714,0.566,0.737,joy,ADJ
princely,0.786,0.54,0.763,joy,ADV
principally,0.786,0.48,0.791,joy,ADV
privileged,0.867,0.49,0.853,joy,ADJ
prestigious,0.979,0.644,0.925,joy,ADJ
succulent,0.823,0.538,0.556,joy,ADJ
quick,0.704,0.755,0.75,joy,ADJ
successful,0.949,0.724,0.938,joy,ADJ
remarkably,0.688,0.618,0.868,joy,ADV
strategic,0.786,0.708,0.861,joy,ADJ
blunt,0.551,0.68,0.925,joy,ADJ
courteous,0.937,0.396,0.529,joy,ADJ
reputable,0.781,0.462,0.919,joy,ADJ
stout,0.656,0.657,0.817,joy,ADJ
resolute,0.771,0.51,0.712,joy,ADJ
resolutely,0.714,0.453,0.805,joy,ADV
remarkable,0.88,0.573,0.72,joy,ADJ
resourceful,0.906,0.704,0.886,joy,ADJ
respectful,0.951,0.386,0.814,joy,ADJ
resplendent,0.905,0.673,0.755,joy,ADJ
responsible,0.837,0.527,0.833,joy,ADJ
responsive,0.816,0.569,0.573,joy,ADJ
courageous,0.918,0.587,0.879,joy,ADJ
cosmopolitan,0.823,0.51,0.76,joy,ADJ
revere,0.75,0.562,0.608,joy,ADV
rewarding,0.958,0.637,0.783,joy,ADJ
respectable,0.85,0.35,0.889,joy,ADJ
rhythmical,0.844,0.694,0.632,joy,ADJ
crafty,0.589,0.679,0.783,joy,ADJ
relevant,0.719,0.608,0.764,joy,ADJ
quickly,0.784,0.85,0.636,joy,ADV
big,0.802,0.588,0.812,joy,ADJ
radiant,0.888,0.717,0.791,joy,ADJ
stylish,0.885,0.49,0.689,joy,ADJ
rapid,0.667,0.788,0.768,joy,ADJ
sturdy,0.58,0.642,0.824,joy,ADJ
stupendous,0.823,0.69,0.798,joy,ADJ
stunning,0.888,0.673,0.858,joy,ADJ
reliable,0.912,0.241,0.875,joy,ADJ
real,0.719,0.51,0.717,joy,ADJ
reasonable,0.902,0.337,0.726,joy,ADJ
creditable,0.802,0.51,0.742,joy,ADJ
credible,0.917,0.441,0.75,joy,ADJ
creative,0.917,0.518,0.788,joy,ADJ
strongly,0.63,0.817,0.885,joy,ADV
refreshing,0.936,0.52,0.571,joy,ADJ
strong,0.912,0.745,0.895,joy,ADJ
strikingly,0.69,0.684,0.811,joy,ADV
realistic,0.7,0.52,0.783,joy,ADJ
legitimate,0.792,0.363,0.841,joy,ADJ
meaningful,0.77,0.5,0.802,joy,ADJ
epic,0.857,0.713,0.83,joy,ADJ
handsome,0.89,0.6,0.682,joy,ADJ
active,0.847,0.73,0.731,joy,ADJ
admirable,0.929,0.6,0.87,joy,ADJ
excellent,0.97,0.587,0.87,joy,ADJ
happier,0.99,0.76,0.806,joy,ADV
happiest,0.99,0.716,0.746,joy,ADJ
happily,1.0,0.69,0.674,joy,ADV
happy,1.0,0.735,0.772,joy,ADJ
indestructible,0.772,0.731,0.853,joy,ADJ
independent,0.885,0.44,0.872,joy,ADJ
exceptional,0.806,0.74,0.933,joy,ADJ
happynewyear,0.969,0.815,0.559,joy,ADJ
unstoppable,0.625,0.887,0.862,joy,ADJ
excitable,0.803,0.939,0.629,joy,ADJ
exciting,0.95,0.792,0.789,joy,ADJ
admissible,0.78,0.528,0.642,joy,ADJ
firstborn,0.786,0.49,0.695,joy,ADJ
healthy,0.938,0.319,0.818,joy,ADJ
healthful,0.93,0.315,0.769,joy,ADJ
fertile,0.888,0.408,0.704,joy,ADJ
exemplary,0.833,0.343,0.729,joy,ADJ
fervent,0.646,0.632,0.773,joy,ADJ
festive,0.854,0.74,0.764,joy,ADJ
evolutionary,0.796,0.673,0.825,joy,ADV
advanced,0.844,0.623,0.797,joy,ADJ
adorable,0.969,0.519,0.457,joy,ADJ
voluptuous,0.673,0.719,0.792,joy,ADJ
incredible,0.857,0.796,0.902,joy,ADJ
firmly,0.786,0.51,0.777,joy,ADV
harmoniously,0.969,0.265,0.647,joy,ADV
harmonious,0.938,0.391,0.719,joy,ADJ
exclusive,0.792,0.63,0.653,joy,ADJ
vivid,0.698,0.627,0.667,joy,ADJ
industrious,0.72,0.537,0.791,joy,ADJ
gymnastic,0.81,0.706,0.604,joy,ADJ
great,0.958,0.665,0.81,joy,ADJ
great anticipation,0.786,0.735,0.655,joy,ADJ
enormous,0.677,0.665,0.886,joy,ADJ
great aunt,0.896,0.419,0.589,joy,ADJ
wise,0.878,0.25,0.861,joy,ADJ
great surprise,0.939,0.941,0.688,joy,ADJ
innovative,0.88,0.64,0.83,joy,ADJ
great trust,0.939,0.528,0.853,joy,ADJ
greater,0.755,0.519,0.796,joy,ADJ
enormously,0.76,0.694,0.872,joy,ADV
enthusiastic,0.885,0.868,0.848,joy,ADJ
very positive,1.0,0.551,0.825,joy,"ADV, ADJ"
greatest,0.847,0.627,0.922,joy,ADJ
ingenious,0.76,0.69,0.891,joy,ADJ
greatful,0.923,0.571,0.676,joy,ADJ
greatly,0.75,0.708,0.877,joy,ADV
greatly positive,0.967,0.538,0.877,joy,"ADV, ADJ"
wealthy,0.927,0.566,0.862,joy,ADJ
amazingly,0.918,0.765,0.92,joy,ADV
flashy,0.704,0.6,0.827,joy,ADJ
eulogistic,0.74,0.623,0.694,joy,ADJ
eternal,0.854,0.409,0.843,joy,ADJ
infallible,0.776,0.687,0.809,joy,ADJ
amazing,0.906,0.837,0.849,joy,ADJ
essential,0.812,0.405,0.759,joy,ADJ
wholesome,0.888,0.423,0.754,joy,ADJ
willing,0.833,0.561,0.783,joy,ADJ
infinitely,0.688,0.643,0.829,joy,ADV
amorous,0.844,0.67,0.636,joy,ADJ
influential,0.899,0.688,0.944,joy,ADJ
informative,0.812,0.419,0.741,joy,ADJ
especial,0.827,0.419,0.794,joy,ADJ
alluring,0.837,0.745,0.843,joy,ADJ
heartily,0.927,0.531,0.664,joy,ADV
vivacious,0.78,0.82,0.758,joy,ADJ
honest,0.927,0.254,0.75,joy,ADJ
upper,0.74,0.529,0.868,joy,ADJ
agreeable,0.906,0.5,0.696,joy,ADJ
impeccable,0.833,0.37,0.824,joy,ADJ
honorable,0.963,0.412,0.83,joy,ADJ
extravagant,0.72,0.763,0.812,joy,ADJ
extreme surprise,0.833,0.935,0.676,joy,ADJ
extreme trust,0.826,0.713,0.922,joy,ADJ
upward,0.792,0.481,0.62,joy,ADV
honorary,0.885,0.565,0.811,joy,ADJ
imaginative,0.78,0.541,0.593,joy,ADJ
useful,0.833,0.411,0.726,joy,ADJ
hopeful,0.947,0.357,0.627,joy,ADJ
extremely,0.635,0.827,0.886,joy,ADV
utmost,0.719,0.74,0.858,joy,ADV
extremely positive,0.993,0.73,0.839,joy,"ADV, ADJ"
vibrant,0.771,0.824,0.782,joy,ADJ
famous,0.916,0.775,0.882,joy,ADJ
hospitable,0.791,0.47,0.661,joy,ADJ
versatile,0.906,0.625,0.714,joy,ADJ
faithful,0.888,0.333,0.627,joy,ADJ
humorous,0.906,0.616,0.665,joy,ADJ
fairly,0.79,0.406,0.75,joy,ADV
imperial,0.669,0.646,0.922,joy,ADJ
fair,0.812,0.557,0.643,joy,ADJ
famously,0.856,0.765,0.787,joy,ADV
fabulous,0.979,0.66,0.797,joy,ADJ
valuable,0.899,0.547,0.798,joy,ADJ
eyeful,0.802,0.5,0.676,joy,ADJ
ideal,0.802,0.437,0.736,joy,ADJ
idealistic,0.812,0.469,0.755,joy,ADJ
agile,0.8,0.657,0.775,joy,ADJ
uplifting,0.771,0.548,0.605,joy,ADJ
fantastic,0.969,0.696,0.831,joy,ADJ
victorious,0.884,0.886,0.946,joy,ADJ
expressive,0.755,0.724,0.685,joy,ADJ
exponential,0.704,0.588,0.763,joy,ADJ
adventurous,0.969,0.898,0.722,joy,ADJ
advantageous,0.837,0.64,0.789,joy,ADJ
virtuous,0.89,0.53,0.822,joy,ADJ
fatherly,0.865,0.363,0.712,joy,ADV
heroic,0.89,0.77,0.912,joy,ADJ
faultless,0.792,0.5,0.741,joy,ADJ
vital,0.75,0.716,0.847,joy,ADJ
alive,0.816,0.637,0.731,joy,ADJ
expeditious,0.602,0.645,0.773,joy,ADJ
heavenly,0.844,0.452,0.712,joy,ADV
expansive,0.708,0.65,0.778,joy,ADJ
exotic,0.84,0.711,0.727,joy,ADJ
favorable,0.952,0.38,0.788,joy,ADJ
wishful,0.885,0.712,0.606,joy,ADJ
legit,0.747,0.427,0.849,joy,ADJ
exquisite,0.892,0.644,0.604,joy,ADJ
implacable,0.569,0.663,0.83,joy,ADJ
affirmatively,0.908,0.5,0.811,joy,ADV
important,0.827,0.63,0.836,joy,ADJ
vigorous,0.857,0.77,0.897,joy,ADJ
affirmative,0.854,0.589,0.816,joy,ADJ
impressionable,0.827,0.72,0.645,joy,ADJ
advisable,0.867,0.48,0.51,joy,ADJ
impressive,0.781,0.83,0.873,joy,ADJ
affectionate,0.949,0.422,0.55,joy,ADJ
highest,0.771,0.64,0.71,joy,ADJ
extraordinary,0.969,0.728,0.86,joy,ADJ
higher,0.866,0.528,0.713,joy,ADJ
exquisitely,0.849,0.728,0.723,joy,ADV
fascinating,0.979,0.817,0.784,joy,ADJ
historic,0.816,0.473,0.784,joy,ADJ
enjoyable,1.0,0.481,0.605,joy,ADJ
familiar,0.906,0.33,0.615,joy,ADJ
abundant,0.958,0.59,0.76,joy,ADJ
intuitive,0.771,0.573,0.69,joy,ADJ
grateful,0.958,0.353,0.56,joy,ADJ
gainful,0.73,0.589,0.673,joy,ADJ
worthwhile,0.908,0.385,0.538,joy,ADJ
worthy,0.812,0.34,0.796,joy,ADJ
fortunate,0.927,0.639,0.836,joy,ADJ
foremost,0.735,0.593,0.907,joy,ADV
angelic,0.927,0.298,0.668,joy,ADJ
wondrous,0.854,0.679,0.818,joy,ADJ
eminently,0.694,0.607,0.773,joy,ADV
forward,0.873,0.412,0.75,joy,ADV
emotive,0.917,0.741,0.525,joy,ADJ
gaudy,0.653,0.735,0.721,joy,ADJ
general,0.834,0.484,0.853,joy,ADJ
generous,1.0,0.41,0.81,joy,ADJ
genial,0.867,0.63,0.769,joy,ADJ
emphatic,0.615,0.707,0.732,joy,ADJ
intimately,0.806,0.573,0.59,joy,ADV
wonderfully,0.969,0.76,0.821,joy,ADV
genteel,0.917,0.333,0.656,joy,ADJ
gentlemanly,0.918,0.451,0.72,joy,ADV
interesting,0.927,0.726,0.731,joy,ADJ
efficacious,0.823,0.698,0.845,joy,ADJ
genuine,0.875,0.45,0.685,joy,ADJ
wonderful,0.971,0.776,0.83,joy,ADJ
earnestly,0.847,0.49,0.717,joy,ADV
interactive,0.727,0.811,0.77,joy,ADJ
knowledgeable,0.865,0.455,0.971,joy,ADJ
keen,0.823,0.719,0.806,joy,ADJ
effective,0.844,0.632,0.891,joy,ADJ
efficient,0.959,0.604,0.83,joy,ADJ
educational,0.745,0.457,0.764,joy,ADJ
irresistible,0.823,0.833,0.839,joy,ADJ
formidable,0.708,0.709,0.857,joy,ADJ
jolly,0.959,0.705,0.708,joy,ADV
worth,0.872,0.51,0.889,joy,ADJ
elegant,0.865,0.5,0.685,joy,ADJ
fully,0.763,0.45,0.779,joy,ADV
eloquent,0.87,0.68,0.741,joy,ADJ
functional,0.75,0.5,0.72,joy,ADJ
joyful,0.99,0.74,0.667,joy,ADJ
joyous,0.958,0.58,0.728,joy,ADJ
invincible,0.867,0.853,0.914,joy,ADJ
ecstatic,0.875,0.769,0.742,joy,ADJ
fundamental,0.708,0.422,0.903,joy,ADJ
emblematic,0.771,0.459,0.798,joy,ADJ
ebullient,0.659,0.856,0.746,joy,ADJ
inventive,0.78,0.627,0.721,joy,ADJ
eminent,0.74,0.62,0.83,joy,ADJ
invaluable,0.74,0.5,0.745,joy,ADJ
funny,0.918,0.61,0.566,joy,ADJ
forevermore,0.843,0.425,0.614,joy,ADV
fruitful,0.73,0.618,0.637,joy,ADJ
justifiable,0.786,0.413,0.821,joy,ADJ
